clip,chapter,speaker_jp,japanese,chinese,sec
ner0263,13,ねり,"お母さんが大好きで……だからお母さんの言うことは
正しいと思ってて。","非常非常喜欢妈妈……
所以认为妈妈说的话就是正确的。",5.928
ner0264,13,ねり,それでお母さんに嫌われるのが怖いの。,便害怕起被妈妈讨厌。,3.746
ner0265,13,ねり,……。,……,2.909
ner0266,13,ねり,でもね、お兄ちゃん。,不过啊，哥哥。,2.139
ner0267,13,ねり,えと……去年のクリスマスのこと、覚えてる？,嗯……你还记得去年的圣诞节吗？,4.436
ner0268,13,ねり,うん。,嗯。,0.462
ner0269,13,ねり,"あの日ね、ねり、お母さんに電話して。
それでお母さんから、お兄ちゃんのところには
行くなって言われてたの。","那天音理和妈妈打了电话。
然后妈妈告诉音理，不许到哥哥那里去。",8.353
ner0270,13,ねり,"お兄ちゃんは都合があるかもだし、邪魔になるとか、
色々言われて……。","哥哥你有自己的事要做，不能打扰你之类的，
说了好多理由……",5.4
ner0271,13,ねり,でもねりはあの日のこと後悔してない。,但音理还是没有后悔那天所做的事。,3.63
ner0272,13,ねり,"お母さんの言うこと聞かなくて、よかったと思う。
お兄ちゃんと一緒にクリスマスを過ごせたこと。
絶対に正しかったと思う。","觉得还好没有听妈妈的话。
和哥哥一起过了圣诞节，
这绝对是正确的。",9.762
ner0273,13,ねり,お兄ちゃんに迷惑かけて正しかったと思う。,给哥哥添麻烦是正确的。,3.378
ner0274,13,ねり,うん。,嗯。,0.396
ner0275,13,ねり,あの子にもそう思って欲しいの。,我希望她也能有这样的想法。,2.809
ner0276,13,ねり,……もう時間がないみたい。逃げなくちゃ。,……看来已经没时间了。得赶紧逃了。,3.199
ner0277,13,ねり,お兄ちゃん。,哥哥。,0.841
ner0278,13,ねり,……。,……,1.215
ner0279,13,ねり,"忘れないで。
ねりのここは、もうあの子のものだけど。","不要忘记了。
音理的这里已经属于她……",6.019
ner0280,13,ねり大,ねりのハートは、お兄ちゃんのものだからね。,但音理的心，永远只属于哥哥。,4.253
ner0281,13,ねり,"ずっと見守ってる。
出来るところまでは、ねりがお兄ちゃんを守ってあげる。","我一直都会守望着你。
今后也会尽可能地保护哥哥的。",6.498
ner0282,13,ねり,だからあの子を助けてあげて。,所以，帮帮她吧。,3.283
ner0283,14,ねり,コラァ！（すぱーん！）,混蛋！,0.907
ner0284,14,ねり,"なにやってるのお兄ちゃん。
女の子泣かせて、そのまま逃げるなんて。","你在干什么啊哥哥。
居然把女孩子弄哭，然后又逃走了。",4.773
ner0285,14,ねり,ここではいいの。,在这里就没问题。,1.3
ner0286,14,ねり,かもね。,大概吧。,0.736
ner0287,14,ねり,……。,……,1.528
ner0288,14,ねり,ねりが会いたいから会えてるんだよ。,因为音理想见你，所以就才能见面的。,2.869
ner0289,14,ねり,いまは説教しに来たけどね。,当然，这次是来训你的。,2.282
ner0290,14,ねり,"落ち込んでるヒマなんてないない。
真白ちゃん、あれからずっと泣いてるんだから。","现在没空给你消沉了。
那之后真白可一直在哭。",5.696
ner0291,14,ねり,"あの……カルハ？　ちゃん？
あの子が必死で慰めてて、なんとか落ち着いてきたけど。","那女孩是叫狩叶来着吧？
她一直在拼命安慰，现在好不容易才冷静下来了。",7.64
ner0292,14,ねり,"お兄ちゃんが泣かせたんだよ。
なんとかしなきゃ。","不过是哥哥你把她弄哭的。
你也要有所表示才行。",3.526
ner0293,14,ねり,"ジェントルメンがレディを慰める方法なんて
古来からひとつだけでしょ。","绅士安慰女士的方法，
自古以来就只有一种。",5.03
ner0294,14,ねり,"やあお嬢さん、ちょいと誤解があったけれど、
それより一緒に踊りませんか。","这位大小姐，刚才似乎发生了一点误会。
那么可以与我共舞一曲吗？",5.009
ner0295,14,ねり,ん～、ちゅっ♪,嗯～，啾♪,1.343
ner0296,14,ねり,みたいな。,这样。,0.853
ner0297,14,ねり,それは……仕方ないと思うけど。,这……我也能理解就是了。,3.282
ner0298,14,ねり,再利用できるならいいと思ってるよ。,我倒觉得自己的心脏能派上用场是好事。,2.616
ner0299,14,ねり,ん……。,嗯……,0.386
ner0300,14,ねり,……。,……,1.229
ner0301,14,ねり,それじゃダメ。,这样不行。,1.025
ner0302,14,ねり,"効率的とか……わたしが言ってるとか。
そんなんじゃダメ。","比较有效率……还有我说没关系之类的，
这些是不行的。",4.197
ner0303,14,ねり,"それじゃあ最後には耐えられない。
あの子の、もっと辛いことに耐えられない。","这样她撑不到最后的。
她会忍受不住更加令人痛苦的事。",5.982
ner0304,14,ねり,一番辛いことはこれから起きるから。,因为最痛苦的事接下来才要发生。,3.627
ner0305,14,ねり,"いまのあの子は、
黒猫のノワールに逃がしてもらってるだけ。
辛い現実から、逃げ場へ導いてもらってるだけ。","现在的她只是变成了黑猫诺瓦来逃避。
只是躲在那里逃避严酷的现实而已。",8.155
ner0306,14,ねり,でもいつかは戻らなきゃいけないの。,但总有一天必须回去。,2.852
ner0307,14,ねり,終点が来る前に、戻らなきゃいけない。,在终点到来之前，必须回去。,3.104
ner0308,14,ねり,もうほとんど時間がないの。,已经没什么时间了。,1.992
ner0309,14,ねり,"お兄ちゃんも見てるでしょ。
真白ちゃんはお母さんが大好きだって。","哥哥你也看到了吧。
真白非常喜欢自己的妈妈。",5.073
ner0310,14,ねり,"お母さんが生きるべきじゃないって思えば
生きることにも自信がない子だって。",如果她都觉得妈妈不该生下她，那她连活着的信心都没有了。,5.459
ner0311,14,ねり,触れただけで生きることが弱まっちゃうくらいに。,以至于光是触摸就会令人的生命变得虚弱。,3.816
ner0312,14,ねり,お兄ちゃんにはそこから救い出してほしいの。,希望哥哥你能将她从那里拯救出来。,3.949
ner0313,14,ねり,お兄ちゃんなら出来る……でしょ？,哥哥你一定做得到……对吧？,2.989
ner0314,14,ねり,自信ないなあって顔しないの。,不许一脸气馁。,2.36
ner0315,14,ねり,うん。,嗯。,0.814
ner0316,14,ねり,うんっ。,嗯。,0.409
ner0317,14,ねり大,……。,……,1.309
ner0318,14,ねり,これが最後のお話。,这是最后一个故事。,1.758
ner0319,14,ねり,可哀想な男の子のお話。,一个可怜的男生的故事。,2.604
ner0320,14,ねり,その子が生まれたのは、海の真ん中にある小さな島でね。,那孩子出生于大海正中央的一个小岛。,5.473
ner0321,14,ねり,賑わってるけど静かで、住み心地はいいんだけど。,那是个热闹又安静的地方，住起来很舒服。,4.888
ner0322,14,ねり,"でも周りの大人やテレビの人は、本州とはちがう。
不便だって口癖のように言ってて。","但周围的大人和电视里的人，
总是把“这里和本州不一样”“真不方便啊”挂在嘴边。",7.717
ner0323,14,ねり,"だからその子はずっと本州に憧れてたの。
大学は絶対に本州、できれば東京に通おうって。","所以那孩子一直憧憬着本州。
想着一定要去本州，最好能到东京去上大学。",8.898
ner0324,14,ねり,"とくにその子は汽車が好きで、島の中にはなかったから、
線路の上を走る電車に憧れてた。","他非常喜欢火车。憧憬着岛上所没有的，
在铁轨上疾驰的电车。",7.673
ner0325,14,ねり,"大人になって憧れの東京に住みだしたけど、でも、
そこにその子の憧れはなかった。","长大成人之后，他如愿以偿来到了东京生活。但是，
那里并没有他所憧憬的那些东西。",8.513
ner0326,14,ねり,東京の生活は息苦しくて。仕事も辛くて。,东京的生活过得很憋屈。工作也很艰难。,4.738
ner0327,14,ねり,"その子は必死で適応しようと言葉の訛りを直したり。
顔を整形までしたんだけど。","为了适应东京的生活，他拼命改掉了自己的乡音，
甚至还去做了整容。",7.424
ner0328,14,ねり,でもやっぱり島の、のんびりした暮らしはそこになかった。,但那里的生活始终无法像小岛上那样悠闲舒适。,5.055
ner0329,14,ねり,"とくに辛いのは仕事。
仕事の、人間関係。","最辛苦的是工作。
工作方面的人际关系。",5.149
ner0330,14,ねり,"現場と役所の間をつなぐ仕事だから、
どちらからも文句ばかり言われて、傷ついて。","因为是充当现场和办公室沟通窗口的工作，
所以总是被双方责备个不停，因此而受伤。",7.342
ner0331,14,ねり,……。,……,0.625
ner0332,14,ねり,でもね。,不过。,0.628
ner0333,14,ねり,その人が何よりも可哀想なのは……。,那个人最可怜的地方是……,3.494
ner0334,14,ねり,みんなとちがうことなの。,他和大家不同。,1.925
ner0335,14,ねり,夢だった汽車に乗れたのに、みんなとちがう。,虽然坐上了梦想中的火车，但他还是和别人不一样。,4.058
ner0336,14,ねり,"その人だけは気付いてるの。
一番辛いことに。","只有他察觉到了。
最令人痛苦的事是什么。",4.269
ner0337,14,ねり,"だから夢だった汽車に乗れても、みんなみたいに
楽しめてないの。","所以即使坐上了梦想中的火车，
也没法像其他人那样去享受。",5.076
ner0338,14,ねり,可哀想な男の子の物語。,这样一个可怜的男生的故事。,3.297
ner0339,15,ねり,それじゃダメ。,这样不行。,1.244
ner0340,15,ねり,一番辛いことに耐えられない。,她会忍受不住最令人痛苦的事。,2.912
ner0341,15,ねり,ほんとだよ。,就是啊。,1.271
ner0342,15,ねり,"お兄ちゃん、ねりが最後に見たときより
ちょっと太ってるんだもん。",哥哥变得比音理最后一次见面时要胖了呢。,5.008
ner0343,15,ねり,ンもう、もっとカッコよくしててよね。,真是的，不要把自己弄得这么狼狈啊。,3.561
ner0344,15,ねり,……。,……,0.783
ner0345,15,ねり,ねりのせいかな。,是因为音理吗。,1.749
ner0346,15,ねり,"ねりのせいでお兄ちゃん、お酒に頼るようになって、
それで……。","因为音理，哥哥才沉溺于酒精之中，
所以才……",5.708
ner0347,15,ねり,……ンもう。,……真是的。,1.278
ner0348,15,ねり,ドナー登録、したんだ。,你当了器官捐献者啊。,2.503
ner0349,15,ねり,えらいね。,真伟大。,0.799
ner0350,15,ねり,ふふっ。,嘿嘿。,1.213
ner0351,15,ねり,お兄ちゃん。,哥哥。,0.788
ner0352,15,ねり,みたい。,好像是这样。,0.671
ner0353,15,ねり,っ！？,！？,0.552
ner0354,15,ねり,い、言うことって。ねりはただ。,什、什么不听话，音理只是……,3.019
ner0355,15,ねり,っ。,！,0.41
ner0356,15,ねり,痛……っ、あ、あううう。,好疼……啊、啊呜呜呜。,4.021
ner0357,15,ねり,あう、う、痛い……ぃ。,啊呜、呜，好疼……,4.23
ner0358,15,ねり,う……ううう。,呜……呜呜呜。,3.146
ner0359,16,ねり,燃料は足りてるから大丈夫。,燃料已经够了，没问题。,2.253
ner0360,16,ねり,任せて、ねり、ここの専門家だから。,交给我吧，音理我可是行家。,3.227
ner0361,16,ねり,"ようするに……このくすぶってる火を、
なんとかもう一度汽車に伝わるくらいの
大きさにすればいいと思う。","简单来说……就是想办法让这奄奄一息的火，
再次变得能够驱动火车那么大就行了。",6.768
ner0362,16,ねり,火ぃつけるよー。,开始点火了喔<dash=2>。,1.606
ner0363,16,ねり,もうイケるっぽいよ。,好像已经可以了喔。,1.531
ner0364,16,ねり,あはっ、いたんだノワール、久しぶりー。,啊哈，诺瓦你在这啊，好久不见。,3.649
ner0365,16,ねり大,……。,……,0.952
ner0366,16,ねり,すわってとぉ。,好啦。,2.039
ner0367,16,ねり,えと、夜羽真白、ちゃん。,那个，夜羽真白。,3.287
ner0368,16,ねり,あ、分かるかな。風又ねりです。初めまして。,啊，认识我吗。我是风又音理。初次见面。,5.474
ner0369,16,ねり,いやー使い道なかったから、気にしないで。,没事，反正我拿着也没用，你别在意。,3.989
ner0370,16,ねり,それよりさ、あなたノワールって名前なのよね。,话说回来啊，你的名字是诺瓦吧。,4.023
ner0371,16,ねり,あれ、どうして？,那是怎么回事？,1.248
ner0372,16,ねり,おしゃれだからでしょ！,这就是时尚吧！,1.469
ner0373,16,ねり,"おしゃれだからだよねー、ねー、
ノワールっていい名前だもん。
つけた人のセンスが現れてるっていうかさ、うんうん。","这就是时尚对吧，
诺瓦真是个好名字啊。
可以体现取名人的品味，嗯嗯。",9.706
ner0374,16,ねり,聞いてるお兄ちゃん！？　ねりのおしゃれさを！,听到了吗哥哥！？　音理我可是很时尚的！,3.144
ner0375,16,ねり,"うん、よし、まああなたのことあまり知らないけど、
ねりと同じセンスがある側ってことは分かったし。","嗯，好，虽然对你不是很了解，
但你肯定和我一样有品味。",8.35
ner0376,16,ねり,"これならねりの心臓あげちゃってよし。
これからもセンスのいい使い方してね。","既然如此，我的心脏给你也可以。
接下来也请保持品味地使用它。",5.561
ner0377,16,ねり,うんうん、これで満足だ。,嗯嗯，这样我就满足了。,2.777
ner0378,16,ねり,行こっ、ノワール。,走吧，诺瓦。,1.26
ner0379,17,ねり,ねえねえお兄ちゃん。,我说哥哥啊。,1.781
ner0380,17,ねり,次の駅、まだつかないかなあ。,还没到下一个站吗。,3.221
ner0381,17,ねり,んー、この景色も飽きてきた。,嗯<dash=2>这里的风景我已经看腻了。,3.387
ner0382,17,ねり,次の駅ってどんなのになるんだろ。,不知道下一站会是怎样呢。,2.666
ner0383,17,ねり,"真白ちゃんが行ったところなら、あたしらも
行ったことになるからね。","真白要去的话，
等于我们也会去了呢。",4.395
ner0384,17,ねり,"んー、なんか他にやることないかな。
絵でも描いてよっか……。","嗯<dash=2>没有什么事可以做吗。
我去画会儿画吧……",5.621
ner0385,17,ねり,あ、そうそう。似顔絵と言えば。,啊，对了。说到肖像画。,3.332
ner0386,17,ねり,あの子、カルハちゃん？　だっけ。,她是叫做狩叶来着？,3.026
ner0387,17,ねり,"あの子どうなっちゃったんだろ。
ここにはいないみたいだけど。","她怎么了呢。
好像不在这里的样子。",3.949
ner0388,17,ねり,どうして乗客じゃなく車掌なんだろ？,为什么不是乘客而是乘务员呢？,2.777
ner0389,17,ねり,？,？,0.479
ner6000,,,,,2.076
ner6001,,,,,4.756
ner6002,,,,,5.992
ner6003,,,,,4.257
ner6004,,,,,9.952
ner6005,,,,,7.239
ner6006,,,,,4.241
ner6007,,,,,8.514
ner6008,,,,,7.705
ner6009,,,,,8.905
ner6010,,,,,5.703
ner6011,,,,,6.204
ner6012,,,,,1.492
ner6013,,,,,10.406
ner6013_b,,,,,1.153
ner6014,,,,,3.755
